cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,trans_num,state_display,trans_date_trans_time_year,trans_date_trans_time_month,trans_date_trans_time_day,dob_year,dob_month,dob_day,is_fraud,log_amount,amount_bin_low,amount_bin_medium,amount_bin_high,distance_from_origin,category_risk
2291163933867244,316,10,2.86,146,107,1,325,150,39,29209,33.9659,-80.9355,333497,268,800,39,2020,6,21,1968,3,19,0,1.3506671834767394,1,0,0,87.77378608138082,0.5869837296620776
3573030041201292,586,10,29.84,158,433,0,337,15,43,84002,40.3207,-110.436,302,380,879,43,2020,6,21,1990,1,17,0,3.4288125486951286,1,0,0,117.56644480671346,0.5869837296620776
3598215285024754,606,5,41.28,24,234,0,803,58,33,11710,40.6729,-73.5365,34496,252,3482,31,2020,6,21,1970,10,21,0,3.7443141610020367,1,0,0,84.03512138778643,0.5653370013755158
3591919803438423,220,9,60.05,42,433,1,304,711,8,32780,28.5697,-80.8191,54767,395,568,8,2020,6,21,1987,7,25,0,4.111693200556713,0,1,0,85.72021163587968,0.6488946684005201
3526826139003047,289,13,3.19,241,246,1,521,234,21,49632,44.2529,-85.017,1126,190,1511,21,2020,6,21,1955,7,6,0,1.4327007339340463,1,0,0,95.84471528159494,0.0
30407675418785,125,7,19.55,83,112,0,682,86,33,14816,42.1939,-76.7361,520,349,2089,31,2020,6,21,1991,10,13,0,3.022860940942244,1,0,0,87.57142365189685,0.4032983508245877
213180742685905,521,5,133.93,183,387,0,8,113,4,95528,40.507,-123.9743,1139,439,395,4,2020,6,21,1951,1,15,0,4.904756125442696,0,1,0,130.42409328605663,0.5653370013755158
3589289942931264,495,10,10.37,249,111,0,324,676,40,57374,43.7557,-97.5936,343,121,2408,40,2020,6,21,1972,3,5,0,2.4309783077624445,1,0,0,106.9535976180792,0.5869837296620776
3596357274378601,200,12,4.37,84,113,1,383,474,37,16858,41.0001,-78.2357,3688,12,1947,37,2020,6,21,1973,5,27,0,1.6808279085207734,1,0,0,88.32798511513776,0.12418300653594772
3546897637165774,312,1,66.54,183,298,0,701,587,42,76678,31.6591,-96.8094,263,39,2898,42,2020,6,21,1956,5,30,0,4.212720014957422,0,1,0,101.8545950910905,0.06443298969072164
2242542703101233,169,1,7.01,273,199,1,398,769,16,40077,38.4921,-85.4524,564,309,1020,16,2020,6,21,1996,4,10,0,2.080690761080268,1,0,0,93.72168600793522,0.06443298969072164
571465035400,196,7,42.4,209,118,1,419,245,49,82514,43.0048,-108.8964,1645,188,4350,49,2020,6,21,1976,2,26,0,3.770459441106359,1,0,0,117.08047982477694,0.4032983508245877
6593250708747804,100,6,2.91,225,268,0,213,416,8,33470,26.7383,-80.276,26551,305,2793,8,2020,6,21,1977,1,4,0,1.3635373739972745,1,0,0,84.61189551646979,0.3757309941520468
4988304376504,34,1,7.93,327,393,1,844,616,33,12575,41.4575,-74.1659,2258,49,3646,31,2020,6,21,1937,3,17,0,2.189416394888408,1,0,0,84.96649356693496,0.06443298969072164
6011504998544485,395,7,2.91,24,431,0,377,353,1,36749,32.5104,-86.8138,1089,267,1667,0,2020,6,21,1971,11,2,0,1.3635373739972745,1,0,0,92.70146697113266,0.4032983508245877
4570636521433188,657,0,24.73,66,226,0,466,187,8,32725,28.8989,-81.2473,88735,85,4110,8,2020,6,21,1988,4,9,0,3.2476576262936527,1,0,0,86.23381110968018,0.08955223880597014
4906628655840914432,249,12,2.33,60,279,1,737,364,8,33040,24.6557,-81.3824,32891,444,10,8,2020,6,21,1987,2,13,0,1.2029723039923526,1,0,0,85.03527839814485,0.12418300653594772
4908846471916297,366,7,16.6,201,395,0,23,267,42,76050,32.2779,-97.2351,5875,363,1752,42,2020,6,21,1992,7,24,0,2.8678989020441064,1,0,0,102.45256219548635,0.4032983508245877
4861310130652566528,432,0,80.11,24,84,0,586,633,17,70774,30.2385,-90.8435,10076,413,1952,17,2020,6,21,1977,12,16,0,4.395806258082254,0,1,0,95.74397304530453,0.08955223880597014
6538441737335434,484,10,5.71,122,156,0,407,133,37,16114,41.3851,-80.1752,606,141,798,37,2020,6,21,1997,9,22,0,1.9035989509835904,1,0,0,90.22632208535379,0.5869837296620776
