cc_num,amt,first,last,street,city,zip,lat,long,city_pop,job,dob_year,dob_month,log_amount,distance_from_origin,is_fraud
2291163933867244,2.86,146,107,325,150,29209,33.9659,-80.9355,333497,268,1968,3,1.3506671834767394,87.77378608138082,0
3573030041201292,29.84,158,433,337,15,84002,40.3207,-110.436,302,380,1990,1,3.4288125486951286,117.56644480671346,0
3598215285024754,41.28,24,234,803,58,11710,40.6729,-73.5365,34496,252,1970,10,3.7443141610020367,84.03512138778643,0
3591919803438423,60.05,42,433,304,711,32780,28.5697,-80.8191,54767,395,1987,7,4.111693200556713,85.72021163587968,0
3526826139003047,3.19,241,246,521,234,49632,44.2529,-85.017,1126,190,1955,7,1.4327007339340463,95.84471528159494,0
30407675418785,19.55,83,112,682,86,14816,42.1939,-76.7361,520,349,1991,10,3.022860940942244,87.57142365189685,0
213180742685905,133.93,183,387,8,113,95528,40.507,-123.9743,1139,439,1951,1,4.904756125442696,130.42409328605663,0
3589289942931264,10.37,249,111,324,676,57374,43.7557,-97.5936,343,121,1972,3,2.4309783077624445,106.9535976180792,0
3596357274378601,4.37,84,113,383,474,16858,41.0001,-78.2357,3688,12,1973,5,1.6808279085207734,88.32798511513776,0
3546897637165774,66.54,183,298,701,587,76678,31.6591,-96.8094,263,39,1956,5,4.212720014957422,101.8545950910905,0
2242542703101233,7.01,273,199,398,769,40077,38.4921,-85.4524,564,309,1996,4,2.080690761080268,93.72168600793522,0
571465035400,42.4,209,118,419,245,82514,43.0048,-108.8964,1645,188,1976,2,3.770459441106359,117.08047982477694,0
6593250708747804,2.91,225,268,213,416,33470,26.7383,-80.276,26551,305,1977,1,1.3635373739972745,84.61189551646979,0
4988304376504,7.93,327,393,844,616,12575,41.4575,-74.1659,2258,49,1937,3,2.189416394888408,84.96649356693496,0
6011504998544485,2.91,24,431,377,353,36749,32.5104,-86.8138,1089,267,1971,11,1.3635373739972745,92.70146697113266,0
